Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,20601,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.9,,,4.3,5.5,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,COPD,CrdPrv,COPD
2020,20601,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,44.7,,,41.6,47.7,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20601,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,43.2,,,41,45.5,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20601,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,13.6,,,11.6,15.8,24156,POINT (-76.85084002 38.61369741),20601,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20601,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,65,,,63.7,66.4,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20601,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,16.5,,,14.1,19.1,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20601,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.4,,,9.1,11.8,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20601,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,20.6,,,18.1,23.2,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20601,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,14,,,12.4,15.7,24156,POINT (-76.85084002 38.61369741),20601,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20601,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,3.9,,,3.5,4.4,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20601,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,32.7,,,29.7,35.7,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20601,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.9,,,5.3,6.6,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20601,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.5,,,2.3,2.7,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20601,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,20.7,,,18.1,23.5,24156,POINT (-76.85084002 38.61369741),20601,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20601,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,78.5,,,77.3,79.7,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20601,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.4,,,12.7,16.1,24156,POINT (-76.85084002 38.61369741),20601,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20601,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,9.9,,,8.8,11.2,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20601,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.9,,,37.3,46.4,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20601,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.2,,,8.1,10.3,24156,POINT (-76.85084002 38.61369741),20601,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20601,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.9,,,2.7,3.2,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20601,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,39.5,,,38.9,40.1,24156,POINT (-76.85084002 38.61369741),20601,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20601,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.8,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20601,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,9.8,,,8.5,11.3,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20601,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.9,,,3.5,4.3,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,VISION,CrdPrv,Vision Disability
2021,20602,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.6,,,7.4,10,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20602,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,22.4,,,20,24.9,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20602,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.6,,,14.1,19.3,24955,POINT (-76.8942217 38.58395764),20602,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20602,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,36.2,,,33.2,39.3,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20602,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,74.4,,,71.1,77.3,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20602,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5,,,4.6,5.5,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20602,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.6,,,9.4,11.8,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20602,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,86.8,,,86.2,87.5,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20602,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4,,,3.6,4.5,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20602,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,78.7,,,75.3,81.8,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20602,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,87.1,,,84.9,89.2,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20602,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12,,,10.5,13.4,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20602,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,73,,,72,74,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,20602,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,5.3,,,4.7,6,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,COPD,CrdPrv,COPD
2020,20602,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,42.6,,,40,45.4,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20602,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,39.4,,,37,41.9,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20602,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14.9,,,12.7,17.2,24955,POINT (-76.8942217 38.58395764),20602,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20602,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,61.3,,,60.1,62.6,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20602,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,17.2,,,14.8,19.8,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20602,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.7,,,9.4,12,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20602,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,22.7,,,20.2,25.4,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20602,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,15.5,,,13.9,17.2,24955,POINT (-76.8942217 38.58395764),20602,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20602,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,4.1,,,3.7,4.6,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20602,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,31.3,,,28.4,34.3,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20602,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7,,,6.2,7.8,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20602,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.6,,,2.4,2.8,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20602,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,22.8,,,19.8,25.7,24955,POINT (-76.8942217 38.58395764),20602,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20602,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,78.4,,,77.3,79.6,24955,POINT (-76.8942217 38.58395764),20602,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20602,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.8,,,14,17.7,24955,POINT (-76.8942217 38.58395764),20602,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20602,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.9,,,9.6,12.2,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20602,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.3,,,38.6,47.8,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20602,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,9.7,,,8.6,10.9,24955,POINT (-76.8942217 38.58395764),20602,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20602,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.3,,,3,3.6,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20602,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40.8,,,40.2,41.4,24955,POINT (-76.8942217 38.58395764),20602,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20602,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.7,,,2.5,2.9,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20602,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,12.5,,,10.7,14.1,24955,POINT (-76.8942217 38.58395764),20602,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20602,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.6,,,4.2,5.1,24955,POINT (-76.8942217 38.58395764),20602,DISABLT,VISION,CrdPrv,Vision Disability
2021,20603,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.8,,,5.8,8,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20603,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.3,,,17.9,22.7,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20603,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,17.3,,,14.7,20,28967,POINT (-76.97694304 38.62938629),20603,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20603,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,34,,,30.9,37.1,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20603,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,73.3,,,69.7,76.5,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20603,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.5,,,4,4.9,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20603,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,9,11.3,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20603,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,88.6,,,88.1,89.1,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20603,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,3.2,,,2.8,3.5,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20603,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,78.8,,,75.3,81.8,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20603,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.9,,,86.9,90.6,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20603,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10,,,8.8,11.2,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20603,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,73.5,,,72.6,74.5,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,20603,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.1,,,3.6,4.6,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,COPD,CrdPrv,COPD
2020,20603,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,44.8,,,42.3,47.3,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,COREM,CrdPrv,Core preventive services for older men
2020,20603,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,43.2,,,41.1,45.4,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,COREW,CrdPrv,Core preventive services for older women
2021,20603,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.7,,,10.7,14.6,28967,POINT (-76.97694304 38.62938629),20603,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2020,20603,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.3,,,65,67.5,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,20603,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,16.2,,,13.8,18.7,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,20603,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,9.5,,,8.3,10.7,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,20603,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,18.7,,,16.5,21.1,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,DISABILITY,CrdPrv,Any Disability
2021,20603,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,12.8,,,11.3,14.3,28967,POINT (-76.97694304 38.62938629),20603,HLTHSTAT,GHLTH,CrdPrv,General Health
2021,20603,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,3.2,,,2.8,3.6,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,20603,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,30.2,,,27.2,33.1,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2021,20603,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,5.6,,,4.9,6.2,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2021,20603,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.2,,,2.1,2.4,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,20603,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,19.2,,,16.7,21.9,28967,POINT (-76.97694304 38.62938629),20603,RISKBEH,LPA,CrdPrv,Physical Inactivity
2020,20603,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,80,,,78.9,80.9,28967,POINT (-76.97694304 38.62938629),20603,PREVENT,MAMMOUSE,CrdPrv,Mammography
2021,20603,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.3,,,12.6,16.1,28967,POINT (-76.97694304 38.62938629),20603,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2021,20603,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,8.7,,,7.6,9.8,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,20603,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.9,,,37.2,46.5,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,OBESITY,CrdPrv,Obesity
2021,20603,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,8.3,,,7.3,9.3,28967,POINT (-76.97694304 38.62938629),20603,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2021,20603,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.7,,,2.4,3,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,20603,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40,,,39.4,40.6,28967,POINT (-76.97694304 38.62938629),20603,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2021,20603,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.2,,,2.1,2.4,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,STROKE,CrdPrv,Stroke
2020,20603,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,9.2,,,7.8,10.5,28967,POINT (-76.97694304 38.62938629),20603,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2021,20603,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,3.6,,,3.3,4,28967,POINT (-76.97694304 38.62938629),20603,DISABLT,VISION,CrdPrv,Vision Disability
2021,20606,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,8.6,,,6.7,10.9,431,POINT (-76.7385765 38.24672555),20606,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20606,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,35.8,,,32.3,39.1,431,POINT (-76.7385765 38.24672555),20606,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20606,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,13,,,11,15.2,431,POINT (-76.7385765 38.24672555),20606,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20606,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,44.7,,,41.2,47.9,431,POINT (-76.7385765 38.24672555),20606,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20606,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,81.1,,,78.3,83.5,431,POINT (-76.7385765 38.24672555),20606,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20606,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.1,,,8.2,10,431,POINT (-76.7385765 38.24672555),20606,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20606,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.3,,,9.1,11.5,431,POINT (-76.7385765 38.24672555),20606,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
